,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
18548,NPDES:ORR10E615,NPDES,ORR10E615,KLAMATH WORKS CAMPUS - PHASE 1,42.2158,-121.7691,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069570896
18550,NPDES:ORR10D944,NPDES,ORR10D944,KUHS RENOVATION,42.2327,-121.7772,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069590990
18552,NPDES:ORR10F209,NPDES,ORR10F209,LAKE EWAUNA TRAIL,42.2204,-121.7842,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070230012
18567,NPDES:ORR10F075,NPDES,ORR10F075,LITHIA TOYOTA OF KLAMATH FALLS,42.20894,-121.75718,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070229494
18661,NPDES:ORR10E028,NPDES,ORR10E028,PACIFICORP KLAMATH PAVING REHABILITATION,42.200364,-121.781668,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069594870
18706,NPDES:ORR109613,NPDES,ORR109613,RIDGEWATER,42.2319,-121.8397,18010203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069604707
18722,NPDES:ORU000360,NPDES,ORU000360,SCALA DAIRY,NA,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011003298
18743,NPDES:ORR10F876,NPDES,ORR10F876,SKY LAKES UPPER EMPLOYEE OVERFLOW PARKING LOT,42.25291,-121.78205,18010203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070628224
18744,NPDES:ORR10E938,NPDES,ORR10E938,SKY MEADOWS - HOMEDALE RD.,42.1797,-121.7216,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070228159
18750,NPDES:ORR10E588,NPDES,ORR10E588,SLMC PARKING STRUCTURE,42.25259,-121.7867,18010203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069582062
18751,NPDES:ORR10D788,NPDES,ORR10D788,SNOW GOOSE SUBSTATION,42.166358,-121.79064,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067599370
18780,NPDES:ORR10F320,NPDES,ORR10F320,TACO BELL,42.19847,-121.75715,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070264807
18781,NPDES:ORR10E797,NPDES,ORR10E797,TAXIWAY B CONSTRUCTION,42.1483,-121.7269,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070228887
